Unnamed: 0,CSD_code,q,charge,S,mult,MND,nn,oxo_charge,oxo_mult
0,AAZDCO,q,1,S,0,MND,6,,
1,ABAFOZ,q,0,S,0,MND,4,,
2,ABAFUF,q,0,S,0,MND,4,,
3,ABAGAM,q,0,S,0,MND,4,,
4,ABAJAP,q,1,S,0,MND,5,,
5,ABAJET,q,1,S,0,MND,5,,
6,ABAJIZ,q,0,S,0,MND,4,,
7,ABAJOF,q,0,S,0,MND,4,,
8,ABAKAS,q,0,S,0,MND,4,,
9,ABAKEU,q,0,S,0,MND,4,,
10,ABAKIA,q,0,S,0,MND,4,,
11,ABAKIY,q,0,S,0,MND,5,,
12,ABAKOE,q,0,S,0,MND,5,,
13,ABAKOG,q,0,S,0,MND,4,,
14,ABAMIA,q,0,S,0,MND,4,,
15,ABANOH,q,0,S,0,MND,4,,
16,ABANUN,q,0,S,0,MND,4,,
17,ABAPAV,q,0,S,0,MND,2,-1.0,1.0
18,ABAPEZ,q,0,S,0,MND,2,,
19,ABAPOJ,q,0,S,0,MND,2,,
20,ABAQIE,q,0,S,0,MND,4,,
21,ABAQUQ,q,1,S,0,MND,4,,
22,ABARAX,q,0,S,0,MND,9,,
23,ABARUT,q,0,S,0,MND,6,,
24,ABASAA,q,0,S,0,MND,5,,
25,ABASEC,q,1,S,0,MND,4,,
26,ABASEE,q,0,S,0,MND,6,,
27,ABASUR,q,0,S,0,MND,7,,
28,ABATEC,q,0,S,0,MND,8,,
29,ABATED,q,0,S,0,MND,8,,
30,ABATUS,q,0,S,0,MND,6,,
31,ABATUT,q,0,S,0,MND,3,,
32,ABAVAA,q,0,S,0,MND,2,,
33,ABAVEE,q,0,S,0,MND,2,,
34,ABAXIK,q,1,S,0,MND,6,,
35,ABAXOS,q,0,S,0,MND,6,,
36,ABAXUX,q,0,S,0,MND,6,,
37,ABAXUY,q,1,S,0,MND,6,,
38,ABAYUA,q,0,S,0,MND,6,,
39,ABAZAH,q,0,S,0,MND,6,,
40,ABAZEK,q,0,S,0,MND,5,,
41,ABAZEL,q,0,S,0,MND,6,,
42,ABAZIO,q,0,S,0,MND,4,,
43,ABAZIP,q,0,S,0,MND,6,,
44,ABAZOU,q,0,S,0,MND,8,,
45,ABEDUH,q,0,S,0,MND,6,,
46,ABEFOF,q,0,S,0,MND,3,,
47,ABEFUI,q,0,S,0,MND,6,,
48,ABEGAP,q,0,S,0,MND,12,,
49,ABEGOD,q,1,S,0,MND,5,,
50,ABEGOG,q,0,S,0,MND,5,,
51,ABEJAS,q,0,S,0,MND,5,,
52,ABEJEW,q,0,S,0,MND,5,,
53,ABEJOG,q,0,S,0,MND,4,,
54,ABELOK,q,0,S,0,MND,2,,
55,ABEMAX,q,0,S,0,MND,3,,
56,ABENIH,q,0,S,0,MND,3,,
57,ABENRE,q,-1,S,0,MND,6,,
58,ABEPAA,q,1,S,0,MND,4,,
59,ABEPEE,q,1,S,0,MND,4,,
60,ABERIK,q,0,S,0,MND,6,,
61,ABEROQ,q,0,S,0,MND,6,,
62,ABERUU,q,0,S,0,MND,7,,
63,ABERUW,q,0,S,0,MND,5,,
64,ABESAB,q,0,S,0,MND,7,,
65,ABESAD,q,0,S,0,MND,6,,
